"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"JUBLFOOD","EQ","05-Feb-2019","       1396.50","       1355.00","       1365.00","       1205.40","       1305.00","       1303.40","       1309.53","    9418525","         12333871110.70","     269055","    1236552","         13.13"
"JUBLFOOD","EQ","06-Feb-2019","       1303.40","       1340.00","       1344.60","       1238.00","       1291.40","       1293.85","       1280.58","    9219435","         11806199921.50","     246149","    1583716","         17.18"
"JUBLFOOD","EQ","07-Feb-2019","       1293.85","       1297.00","       1348.00","       1277.60","       1342.50","       1341.15","       1331.88","    3761427","          5009784127.75","      97694","     393262","         10.46"
"JUBLFOOD","EQ","08-Feb-2019","       1341.15","       1335.00","       1362.25","       1321.40","       1343.00","       1347.00","       1348.10","    2446233","          3297769199.65","      70661","     419620","         17.15"
"JUBLFOOD","EQ","11-Feb-2019","       1347.00","       1346.50","       1353.50","       1303.20","       1325.25","       1319.55","       1321.19","    1510329","          1995438899.40","      40109","     266318","         17.63"
"JUBLFOOD","EQ","12-Feb-2019","       1319.55","       1327.00","       1327.85","       1275.10","       1292.60","       1297.45","       1296.11","    1983732","          2571125336.20","      57185","     289710","         14.60"
"JUBLFOOD","EQ","13-Feb-2019","       1297.45","       1305.45","       1317.70","       1269.15","       1275.35","       1276.05","       1294.93","    2171050","          2811365712.15","      61495","     463982","         21.37"
"JUBLFOOD","EQ","14-Feb-2019","       1276.05","       1280.00","       1317.50","       1280.00","       1311.70","       1312.70","       1301.18","    1729499","          2250384927.10","      53436","     285820","         16.53"
"JUBLFOOD","EQ","15-Feb-2019","       1312.70","       1312.40","       1312.60","       1275.00","       1300.25","       1300.85","       1294.28","    1250051","          1617919285.10","      35864","     109700","          8.78"
"JUBLFOOD","EQ","18-Feb-2019","       1300.85","       1300.05","       1346.50","       1300.05","       1334.05","       1337.95","       1333.63","    2136235","          2848937822.90","      54758","     387866","         18.16"
"JUBLFOOD","EQ","19-Feb-2019","       1337.95","       1340.15","       1368.00","       1333.00","       1333.00","       1341.30","       1354.04","    2557102","          3462425554.50","      59704","     400150","         15.65"
"JUBLFOOD","EQ","20-Feb-2019","       1341.30","       1341.10","       1350.60","       1285.20","       1289.70","       1292.50","       1310.10","    2797395","          3664879679.65","      65952","     462318","         16.53"
"JUBLFOOD","EQ","21-Feb-2019","       1292.50","       1295.00","       1327.90","       1293.20","       1319.00","       1316.30","       1317.13","    2061410","          2715139254.70","      51841","     254541","         12.35"
"JUBLFOOD","EQ","22-Feb-2019","       1316.30","       1305.00","       1313.25","       1289.00","       1293.00","       1295.20","       1297.47","    2708759","          3514525238.85","      67404","     398737","         14.72"
"JUBLFOOD","EQ","25-Feb-2019","       1295.20","       1302.00","       1313.50","       1264.00","       1270.80","       1268.65","       1283.06","    2547385","          3268445798.70","      57073","     635225","         24.94"
"JUBLFOOD","EQ","26-Feb-2019","       1268.65","       1263.00","       1279.00","       1245.75","       1274.55","       1273.40","       1268.13","    2064924","          2618601939.10","      54287","     492315","         23.84"
"JUBLFOOD","EQ","27-Feb-2019","       1273.40","       1287.00","       1293.50","       1265.00","       1272.00","       1272.05","       1279.14","    1467199","          1876758739.75","      37998","     271311","         18.49"
"JUBLFOOD","EQ","28-Feb-2019","       1272.05","       1281.00","       1297.00","       1263.25","       1266.90","       1268.75","       1281.48","    2239670","          2870084623.20","      42845","     873517","         39.00"
